timesteps,ep_rew_mean,ep_rew_std,ep_len_mean
522000,120.36739438000004,44.25403433965082,852.16
524000,120.59440254,44.54127030965708,852.16
526000,120.59440254,44.54127030965708,852.16
528000,121.16237325000002,44.51981342701164,852.16
530000,121.27638216999998,44.640194991609825,852.16
532000,121.27638216999998,44.640194991609825,852.16
534000,123.39379962999999,44.22099315271783,860.17
536000,125.34648485,42.8089149581743,867.86
538000,125.34648485,42.8089149581743,867.86
540000,125.25663831999998,42.719717815079164,867.86
542000,125.25663831999998,42.719717815079164,867.86
544000,126.48126561000001,42.28500982030905,875.45
546000,126.68420877,40.65442274267182,890.41
548000,126.68420877,40.65442274267182,890.41
550000,129.40360378000003,38.431841442139934,906.58
552000,132.39324041,35.44212126419788,929.88
554000,132.39324041,35.44212126419788,929.88
556000,133.42297831,35.11661252238219,929.88
558000,133.42297831,35.11661252238219,929.88
560000,134.23571400999998,35.34662036895666,929.88
562000,134.98732582,33.130708524571354,937.51
564000,134.98732582,33.130708524571354,937.51
566000,136.57872728,32.45213036368944,945.22
568000,138.19920335,31.217454000850957,952.99
570000,137.76383346999998,31.1781489196549,944.76
572000,137.12949491999998,32.40292800196007,937.06
574000,137.12949491999998,32.40292800196007,937.06
576000,137.99247044,32.613936857624154,937.06
578000,138.92748480999998,32.63809935079492,937.06
580000,138.92748480999998,32.63809935079492,937.06
582000,139.86247885999998,32.68383274207655,937.06
584000,141.20864278,30.56255685049617,945.03
586000,140.77673719,30.62964759534676,945.03
588000,141.06027867000003,30.391680594642466,945.03
590000,141.06027867000003,30.391680594642466,945.03
592000,141.23834313,30.41764447171972,945.03
594000,142.11219019,28.461798438564266,952.87
596000,142.11219019,28.461798438564266,952.87
598000,142.74885598999998,28.508051972563226,952.87
600000,143.35204377,28.75829187292035,952.87
602000,145.54845682,25.796957132090885,968.71
604000,145.1898922,25.966032663091664,968.71
606000,145.1898922,25.966032663091664,968.71
608000,145.37442897,25.974718733200383,968.71
610000,145.43652749999998,26.09296045631561,968.71
612000,145.43652749999998,26.09296045631561,968.71
614000,145.99489065,26.448032199059334,968.71
616000,145.95609463,25.83604898497675,968.63
618000,146.08370187,25.85685316205119,968.63
620000,147.28219678000002,25.353233395903292,968.63
622000,147.28219678000002,25.353233395903292,968.63
